Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
102326,2370,CX165B,ST,N,FJÄDERGÅNGJÄRN ASSA2228-110 V Z,0,N,N,N
102965,745,CX400B,ST,N,SKÅPLÅSHUS ASSA 2593 FZ H450445,0,N,N,N
103049,457,CX400B,ST,N,SLUTBLECK ASSA DUBBELSID566Z 460660-57,0,N,N,N
103052,157,CX400B,ST,N,SLUTBLECK ASSA VINKEL 576-577Z450756-57,0,N,N,N
103103,64,CX675B,ST,N,FÖNSTERBÄNKSKONSOL HABO 658 Z120MM,0,N,N,N
105115,236,CX385A,ST,N,CYLINDERRING ASSA 8MM DC N,0,N,N,N
109799,3070,CX695B,ST,N,TORKMATTA KÅBEX SENIOR SVART690MM X 390MM,0,N,N,N
110684,3900,CX370B,ST,N,LÅSHUS ASSA 8561-50Z SYM469177 VÄNSTER,0,N,N,N
110969,341,CX400B,ST,N,"LÅSSTOLPE ASSA 9788,90001Z SYM 469112",0,N,N,N
111172,51.5,CX500B,ST,N,CYLINDERSKRUV ASSA 125MMM MIDJA,0,N,N,N
111875,343,CX400B,ST,N,LÅSSTOLPE ASSA 1498OSYM 468496,0,N,N,N
111876,341,CX400B,ST,N,LÅSSTOLPE ASSA 1498SYM  469115,0,N,N,N
111884,2965,CX370B,ST,N,LÅSHUS ASSA 5585-50Z SYM469175 VÄNSTER,0,N,N,N
112974,3220,CX370B,ST,N,LÅSHUS ASSA 6580-50Z SYM469179 VÄNSTER,0,N,N,N
112985,3220,CX370B,ST,N,LÅSHUS ASSA 6585-50Z SYM469329 VÄNSTER,0,N,N,N
113165,1365,CX385B,ST,N,CYLINDERSKYLT ASSA UTSIDA20MM CH,0,N,N,N
113243,343,CX400B,ST,N,"LÅSSTOLPE ASSA 560,562,564,1560 Z OSYM 468446",0,N,N,N
113389,839,CX143B,ST,N,STÅNG FIX 1195 L=1200MM,0,N,N,N
113756,62,CX485B,ST,N,ENVÄGSSKRUV ASSA 70MM CH,0,N,N,N
114210,356,CX400B,ST,N,SLUTBLECK ASSA ENKELSID566Z H 460661-57,0,N,N,N
120342,4890,CX370B,ST,N,LÅSHUS ASSA SMALPROFIL1361-28Z H 804094,0,N,N,N
120396,3550,CX370B,ST,N,LÅSHUS ASSA SMALPROFIL1398-28Z 803930 HÖGER,0,N,N,N
121488,36500,CX460B,ST,N,ELSLUTBLECK SOLID 5131/24VRÄTTVÄND,0,N,N,N
125602,72,CX293B,FRP,N,GOLVSKYDD M RÖRFÄSTE 109 26MMSB8,0,N,N,N
147123,2045,CX500B,PAR,N,TRYCKE ASSA 6638 N GDS/SB40-75 MM,0,N,N,N
147125,1740,CX500B,PAR,N,TRYCKE ASSA 6647 N GDS/SB40-75MM,0,N,N,N
147129,1550,CX500B,PAR,N,TRYCKE ASSA 6696 MP1 GDS/SB40-75 MM,0,N,N,N
147421,22800,CX100B,ST,N,GLIDSKENA DORMA G-EMR/K SILVERELEKTROMAGNET.GLIDSK. TS93,0,N,N,N
148324,5825,CX540B,ST,N,HYGIENSKÅP 717200LUTANDE SPEGEL 640X475,0,N,N,N
148426,2155,CX6950,ST,N,TORKMATTA KÅBE ORIGINAL588MMX394MM,0,N,N,N
148431,2925,CX695B,ST,N,TORKMATTA KÅBEX SENIOR GRÅ590MM X 390MM,0,N,N,N
148433,5775,CX695B,ST,N,TORKMATTA KÅBEX SENIOR GRÅ790MM X 590MM,0,N,N,N
148434,7225,CX695B,ST,N,TORKMATTA KÅBEX SENIOR GRÅ990MM X 590MM,0,N,N,N
148435,1550,CX695A,ST,N,RAM KÅBE 22 RS TILLDÖRRMATTA 588MM X 394MM,0,N,N,N
148436,1550,CX695A,ST,N,RAM KÅBE 22 RS TILLDÖRRMATTA 788MM X 494MM,0,N,N,N
148437,1550,CX695A,ST,N,RAM KÅBE 22 RS TILLDÖRRMATTA 788MM X 594MM,0,N,N,N
148450,606,CX135A,ST,N,FÖNSTERHÅLLARE FIX 220VIT,0,N,N,N
148875,891,CX500B,FRP,N,TRYCKE ASSA 640 MP140-75MM,0,N,N,N
148876,782,CX500B,PAR,N,TRYCKE ASSA 640 N58-75 MM STORPACK 20,20,N,N,N
152605,73,CX675B,ST,N,FÖNSTERBÄNKSKONSOL AH 8 100MMVIT,0,N,N,N
152606,75.5,CX675B,ST,N,FÖNSTERBÄNKSKONSOL AH 8 120MMVIT,0,N,N,N
152607,75.5,CX675A,ST,N,FÖNSTERBÄNKSKONSOL AH 8 140MMVIT,0,N,N,N
152663,7225,CX460B,ST,N,ELSLUTBLECK SOLID 24/12VIMPULS,0,N,N,N
152667,10350,CX460A,ST,N,ELSLUTBLECK SOLID 70/24VRÄTTVÄND,0,N,N,N
161357,6925,CX390A,ST,N,LÅSHUS 40B7-75 VÄNSTER FAS,0,N,N,N
163339,324,CX565B,ST,N,HANDDUKSHÄNGARE HABO 1804-2 VLSB,0,N,N,N
173327,883,CX165B,ST,N,HAKGÅNGJÄRN HABO 213SVART 700MM,0,N,N,N
173401,50,CX288B,ST,N,KOFFERTHANDTAG HABO 1708 Z100MM,0,N,N,N
173573,45.5,CX280B,ST,N,VÄGGBRICKA HABO 89 N,10,N,N,N
173712,1920,CX205B,ST,N,HATTHYLLA HABO 7000 VIT600MM,0,N,N,N
174560,376,CX400B,ST,N,SLUTBLECK ASSA PLANT 560-565Z464036-57 HÖGER,0,N,N,N
175027,11850,CU140B,ST,N,BRANDYTTERDÖRR Y10 10X21H 31EI2-15/EW60 M LÅS ASSA 310,0,N,N,N
175028,11850,CU140B,ST,N,BRANDYTTERDÖRR Y10 10X21V 31FZV EI2-15/EW60 M ASSA 310,0,N,N,N
175366,50,CA330B,ST,N,FORMSTAG 8MM M ÄNDKNOPP160MM MED KONOR,0,N,N,N
