Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19063280,2585,POG260,M,N,ARMAFLEX RAIL SD RA-19X028RÖRISOLERING 2M/ST,20,N,N,N
19063281,2790,POG260,M,N,ARMAFLEX RAIL SD RA-19X035RÖRISOLERING 2M/ST,20,N,N,N
19063282,2875,POG260,M,N,ARMAFLEX RAIL SD RA-19X042RÖRISOLERING 2M/ST,12,N,N,N
19063283,3050,POG260,M,N,ARMAFLEX RAIL SD RA-19X048RÖRISOLERING 2M/ST,12,N,N,N
19063284,3190,POG260,M,N,ARMAFLEX RAIL SD RA-19X054RÖRISOLERING 2M/ST,12,N,N,N
19063285,3260,POG260,M,N,ARMAFLEX RAIL SD RA-19X060RÖRISOLERING 2M/ST,8,N,N,N
19063286,3370,POG260,M,N,ARMAFLEX RAIL SD RA-19X064RÖRISOLERING 2M/ST,8,N,N,N
19063287,1850,POG910,ST,N,LIM FÖR ULTIMA ECO550AHU-ECO550/300G,6,N,N,N
19063288,614,POG910,ST,N,"ACTIVATOR FÖR ECO550ACT-ECO550/0,1",6,N,N,N
19063303,494,POH140,ST,N,DISTANS TECLIT HANGERS 60/20ROCKWOOL,0,N,N,N
19063304,545,POH140,ST,N,DISTANS TECLIT HANGERS 76/20ROCKWOOL,0,N,N,N
19063305,567,POH140,ST,N,DISTANS TECLIT HANGERS 89/20ROCKWOOL,0,N,N,N
19063306,455,POH140,ST,N,DISTANS TECLIT HANGERS 18/30ROCKWOOL,0,N,N,N
19063307,460,POH140,ST,N,DISTANS TECLIT HANGERS 22/30ROCKWOOL,0,N,N,N
19063308,498,POH140,ST,N,DISTANS TECLIT HANGERS 42/30ROCKWOOL,0,N,N,N
19063309,531,POH140,ST,N,DISTANS TECLIT HANGERS 48/30ROCKWOOL,0,N,N,N
19063310,603,POH140,ST,N,DISTANS TECLIT HANGERS 64/30ROCKWOOL,0,N,N,N
19063311,663,POH140,ST,N,DISTANS TECLIT HANGERS 89/30ROCKWOOL,0,N,N,N
19063312,751,POH140,ST,N,DISTANS TECLIT HANGERS 114/30ROCKWOOL,0,N,N,N
19065335,5875,POG92B,ST,N,ARMAFINISH HN FÄRG GRÅ 0.85LFÖR ARMAFLEX RAL7046,0,N,N,N
41110062,68,POF42B,ST,N,PLASTBÖJ 62 MM GRÅ 90 GR17/20-62W,10,N,N,N
