Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
068F5000,7575,RN0520,ST,N,ELEKTRONISK EXPANSIONS VENTILDANFOSS AKV 15-1,0,N,N,N
068F5005,7575,RN0520,ST,N,ELEKTRONISK EXPANSIONS VENTILDANFOSS AKV 15-2,0,N,N,N
068F5010,7575,RN0520,ST,N,ELEKTRONISK EXPANSIONS VENTILDANFOSS AKV 15-3,0,N,N,N
068F5015,7575,RN0520,ST,N,ELEKTRONISK EXPANSIONS VENTILDANFOSS AKV 15-4,0,N,N,N
080G5050,1760,RN0120,ST,N,EKE 100 1V ÖH STYRNINGÖPPEN IP 00,0,N,N,N
080G5051,2035,RN0120,ST,N,EKE 100 1V ÖH STYRNINGUTAN DISPLAY,0,N,N,N
103363,49300,RV1070,ST,N,AW DX22-ECFLÄKTLUFTSVÄRMARE DX EC MOTOR,0,J,N,N
103364,51500,RV1070,ST,N,AW DX42FLÄKTLUFTSVÄRMARE DX AC MOTOR,0,J,N,N
103365,55400,RV1070,ST,N,AW DX42-ECFLÄKTLUFTSVÄRMARE DX EC MOTOR,0,J,N,N
103366,63300,RV1070,ST,N,AW DX22CEFLÄKTLUFTVÄRMARE DX,0,J,N,N
103367,2530,RV1070,ST,N,AWLH DX22/K22LUFTRIKTARE AWDX 22,0,J,N,N
103368,2980,RV1070,ST,N,AWLH DX42/K42LUFTRIKTARE AWDX 42,0,J,N,N
1182936,582,RP4040,ST,N,"B MAXIPRO SKARVRÖR 1 3/8""INV X INV",2,N,N,N
1258632,5750,RN7010,ST,N,DIFFERENTIELL TRYCKBRYTARE,0,N,N,N
128579,134300,RV4050,ST,N,CLIMATEHUB 2ZONEAE200DNXMPK/EU,0,J,N,N
128581,98600,RV4050,ST,N,WM HYDRO 2ZONEAE160DNZMPK/EU,0,J,N,N
128583,2875,RV4070,ST,N,EXETNSION WIRE-KITMVW-EE300,0,J,N,N
128584,4600,RV4070,ST,N,2-ZONE THERMISTOR KITMOS-T1,0,J,N,N
142801,92900,RV4060,ST,N,SAMSUNG DVM MINI R32 5HPAM040DXMDNG/EU,0,J,N,N
142802,99500,RV4060,ST,N,SAMSUNG DVM MINI R32 6HPAM050DXMDNG/EU,0,J,N,N
