Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19051012,413,PPB150,ST,N,RÖRBÖJ 27MM 90 GR 280X280T-RÖD ( TRR2790 ),0,N,J,N
19051013,374,PPB150,ST,N,AVSLUTNINGSBYGEL RÄCKE BRYGGAT-RÖD ( TAB1100 ),0,N,J,N
19051015,176,PPB150,ST,N,RÄCKESRÖR 27 MM LÄNGD 1.5MSVART ( SRR2715 ),0,N,J,N
19051016,176,PPB150,ST,N,RÄCKESRÖR 27 MM LÄNGD 1.5MT-RÖD ( TRR2715 ),0,N,J,N
19051121,143,PPC210,KG,N,PERF.PLÅT GALV 2000X1000X1.0R5T7.5 (10.0KG/ST),8,N,J,N
19051122,242,PPC210,KG,N,PERF.PLÅT RF 2000X1000X1.0R3T5 1.4301 (10.9KG/ST),10,N,J,N
19051124,420,PPC210,KG,N,PERF.PLÅT ALU 2000X1000X1.5MMR3T5 (5.5KG/ST),5.5,N,J,N
19052559,560,PPC660,KVM,N,PLÅT PLF FORMAT 2000X1250X0.6SVART RAL9017 (1ST=2.5M2),125,N,J,N
19055043,1130,PPC670,KVM,N,PLÅT FORMAT PLX 2000X1250X0.6015 SVART G40 (1ST=2.5M2),125,N,J,N
19055044,601,PPC660,KVM,N,PLÅT FORMAT FAP 2000X1250X0.6015 SVART G40 (1ST=2.5M2),125,N,J,N
19055046,721,PPC690,KVM,N,PLÅT COIL PLX 1250X0.6 X 85 M015 SVART G40 (106.25M2),106.25,N,J,N
19055047,721,PPC690,KVM,N,PLÅT COIL PLX 670X0.6 X 80 M015 SVART G40 (53.6M2),53.6,N,J,N
19055048,571,PPC680,KVM,N,PLÅT COIL FAP 1250X0.6 X 85 M015 SVART G40 (106.25M2),106.25,N,J,N
19055096,102,PPC250,KG,N,RF PLÅT 1.4301 2B2000X1000X0.7 (1ST=11.2KG),11.2,N,J,N
19055098,136,PPC250,KG,N,RF PLÅT 1.4404 2B2000X1000X1.0 (1ST=16.0KG),16,N,J,N
19055099,122,PPC260,KG,N,RF PLÅT 1.4301 2B 1000X0.5(500KG) RULLE,0,N,J,N
19056473,9,PPB150,ST,N,GUMMILIST KLÄMMA GLASPAN. 65MMWELAND ( GL0065 ),0,N,J,N
19056478,37,PPB150,ST,N,SKARVBLECK LÅGLUT. SYSTEMZM WELAND ( LL0145 ),0,N,J,N
19056479,246,PPB150,ST,N,FÄSTE LÅG LÅGLUT. SYSTEM15 GR ZM WELAND ( LL1505 ),0,N,J,N
19056480,557,PPB150,ST,N,FÄSTE MITT ÖST VÄST SYSTEM15GR ZM WELAND ( LL1515 ),0,N,J,N
19056481,360,PPB150,ST,N,FÄSTE HÖG LÅGLUT. SYSTEM15GR ZM WELAND ( LL1530 ),0,N,J,N
19056495,24.38,PPB100,ST,N,VAGNSBULT M10X50 A2( 480092 ) CW,0,N,J,N
19056496,5.92,PPB100,ST,N,TÄTNINGSBRICKA 35MM EPDM( 470119 ) CW,0,N,J,N
19057654,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE GRAFITGRÅ PL10 (53.6M2),107.2,N,J,N
19057655,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE BLYERTSGRÅ PL18 (53.6M2),107.2,N,J,N
19057656,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE GRÅ PL30 (53.6M2),107.2,N,J,N
19057657,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE ÄRGGRÖN PL33 (53.6M2),107.2,N,J,N
19057658,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE MÖRKBRUN PL56 (53.6M2),107.2,N,J,N
19057659,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE ZINKGRÅ PL60 (53.6M2),107.2,N,J,N
19057660,641,PPC730,KVM,N,EMK GREENC 670X0.6 250KGFOLIE VARMVIT PL90 (53.6M2),107.2,N,J,N
19057661,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE GRAFITGRÅ PL10 (100.0M2),100,N,J,N
19057662,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE MÖRKSILVER PL15 (100.0M2,100,N,J,N
19057663,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE BLYERTSGRÅ PL18 (100.0M2,100,N,J,N
19057664,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE MÖRKGRÅ PL20 (100.0M2),100,N,J,N
19057665,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE MÖRKRÖD PL22 (100.0M2),100,N,J,N
19057666,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE GRÅ PL30 (100.0M2),100,N,J,N
19057667,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE ÄRGGRÖN PL33 (100.0M2),100,N,J,N
19057668,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE SILVERMET.PL45 (100.0M2),100,N,J,N
19057669,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE MÖRKBRUN PL56 (100.0M2),100,N,J,N
19057670,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE ZINKGRÅ PL60 (100.0M2),100,N,J,N
19057671,641,PPC730,KVM,N,EMK GREENC 1250X0.6 500KGFOLIE VARMVIT PL90 (100.0M2),100,N,J,N
19057674,641,PPC730,KVM,N,EMK GC GLOSSY 1250X0.6 500KGFOLIE SILVERMET.PL45 (100.0M2),100,N,J,N
19057676,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE GRAFITGRÅ PL10 (100.0M2),100,N,J,N
19057677,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE BLYERTSGRÅ PL18 (100.0M2,100,N,J,N
19057678,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE GRÅ PL30 (100.0M2),100,N,J,N
19057679,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE ÄRGGRÖN PL33 (100.0M2),100,N,J,N
19057680,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE MÖRKBRUN PL56 (100.0M2),100,N,J,N
19057681,552,PPC720,KVM,N,STD GREENC 1250X0.6 500KGFOLIE ZINKGRÅ PL60 (100.0M2),100,N,J,N
19057682,552,PPC720,KVM,N,STD GC GLOSSY 1250X0.6 500KGFOLIE GRÅ PL30 (100.0M2),100,N,J,N
19057684,552,PPC720,KVM,N,STD GC GLOSSY 1250X0.6 500KGFOLIE MÖRKBRUN PL56 (100.0M2),100,N,J,N
19057685,552,PPC720,KVM,N,STD GC GLOSSY 1250X0.6 500KGFOLIE ZINKGRÅ PL60 (100.0M2),100,N,J,N
19057708,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE GRAFITGRÅ PL10,0,N,J,N
19057709,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE BLYERTSGRÅ PL18,0,N,J,N
19057710,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE GRÅ PL30,0,N,J,N
19057711,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE ÄRGGRÖN PL33,0,N,J,N
19057712,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE MÖRKBRUN PL56,0,N,J,N
19057713,1380,PPC700,ST,N,STD GREENC 2000X1250X0.6FOLIE ZINKGRÅ PL60,0,N,J,N
19057714,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE GRAFITGRÅ PL10,0,N,J,N
19057715,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE BLYERTSGRÅ PL18,0,N,J,N
19057716,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE GRÅ PL30,0,N,J,N
19057717,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE ÄRGGRÖN PL33,0,N,J,N
19057718,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE MÖRKBRUN PL56,0,N,J,N
19057719,1725,PPC700,ST,N,STD GREENC 2500X1250X0.6FOLIE ZINKGRÅ PL60,0,N,J,N
19057720,1380,PPC700,ST,N,STD GC GLOSSY 2000X1250X0.6FOLIE GRÅ PL30,0,N,J,N
19057722,1380,PPC700,ST,N,STD GC GLOSSY 2000X1250X0.6FOLIE MÖRKBRUN PL56,0,N,J,N
19057723,1380,PPC700,ST,N,STD GC GLOSSY 2000X1250X0.6FOLIE ZINKGRÅ PL60,0,N,J,N
19057724,1725,PPC700,ST,N,STD GC GLOSSY 2500X1250X0.6FOLIE GRÅ PL30,0,N,J,N
