Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
294497,873,BB0180,ST,N,PERKOLATOR 6 KOPPARROSTFRITT STÅL BASIC C3,0,N,N,N
294498,107,BB0180,ST,N,KAFFEPÅFYLLARE FÖR PERKOLATORSVART UNIVERSAL C3,0,N,N,N
55944103,21500,BG0280,ST,N,UTEKÖK OMBERG - BORGHAMN SKÅP,0,N,N,N
58441949,812,BG0190,ST,N,STOLPE VIT 70X70X1800 MM,0,N,N,N
58441950,309,BG0190,ST,N,STOLPE VIT 70X70X800 MM,0,N,N,N
58441957,249,BG0190,ST,N,STOLPFUNDAMENT SPJUT SVART96X96X750 MM,0,N,N,N
58441958,6750,BG0180,ST,N,"VÄGGPERGOLA 3X4 M GRÅTTSTATIV, VITT TAK",0,N,N,N
58441959,37,BG0190,ST,N,STOLPLOCK GALV 46X46 MM,0,N,N,N
58441960,125,BG0190,ST,N,STOLPFUNDAMENT SPJUT SVART47X47X600 MM,0,N,N,N
58441961,117,BG0190,ST,N,STOLPLOCK PLATT SVART 96X96MM,0,N,N,N
58441963,1320,BG0190,ST,N,SKÄRM HORIZONT 3 TRYCKIMP.790X1590/890 MM VÄNSTER,0,N,N,N
58441969,3520,BG0190,ST,N,STAKET LINNEA 2 SVART1790X900 MM,0,N,N,N
58441970,690,BG0190,ST,N,STOLPE SVART 70X70X1800 MM,0,N,N,N
58441975,57.5,BG0190,ST,N,STOLPLOCK M KNOPP VIT 71X71MM,0,N,N,N
58441976,65.5,BG0190,ST,N,STOLPLOCK VIT 136X136 MM,0,N,N,N
58441977,174,BG0190,ST,N,STOLPFUNDAMENT SPJUT VIT71X71X750 MM,0,N,N,N
58441978,4070,BG0190,ST,N,SKÄRM SALVIA 6 VIT 1800X1200MM,0,N,N,N
58441979,2190,BG0190,ST,N,STAKET SMÖGEN VIT 1800X800 MM,0,N,N,N
58441985,117,BG0190,ST,N,STOLPLOCK PLATT VIT 96X96MM,0,N,N,N
58441986,84,BG0190,ST,N,STOLPLOCK M KNOPP VIT 96X96MM,0,N,N,N
58441989,249,BG0190,ST,N,STOLPFUNDAMENT SPJUT VIT96X96X750 MM,0,N,N,N
58441998,84,BG0190,ST,N,STOLPLOCK M KNOPP SVART 96X96MM,0,N,N,N
58442011,57.5,BG0190,ST,N,STOLPLOCK M KNOPP SVART71X71 MM,0,N,N,N
58442013,2625,BG0190,ST,N,SKÄRM SALVIA 5 VIT 900X1500MM,0,N,N,N
58442027,1380,BG0190,ST,N,SKÄRM/STAKET HORIZONT 2TRYCKIMP. 1590X890 MM,0,N,N,N
58442033,2265,BG0190,ST,N,SKÄRM HORIZONT 1 TRYCKIMP.159X159 CM,0,N,N,N
58442039,2020,BG0190,ST,N,SKÄRM SALVIA 4 VIT 900X900 MM,0,N,N,N
58442042,429,BG0190,ST,N,STOLPE VIT 70X70X1100 MM,0,N,N,N
58442048,174,BG0190,ST,N,STOLPFUNDAMENT SPJUT SVART71X71X750 MM,0,N,N,N
58442060,137,BG0190,ST,N,STOLPFÄSTE ALTAN BULTBART VIT95X95X150 MM,0,N,N,N
58442066,2720,BG0190,ST,N,STAKET STYRSÖ VIT 1800X900 MM,0,N,N,N
58442086,59.5,BG0190,ST,N,STOLPLOCK GALV 91X91 MM,0,N,N,N
58442099,706,BG0190,ST,N,STOLPE VIT 95X95X1100 MM,0,N,N,N
58442105,109,BG0190,ST,N,STOLPLOCK PLATT SVART 71X71MM,0,N,N,N
58442107,8675,BG0180,ST,N,"VÄGGPERGOLA 4X4 M GRÅTTSTATIV, VITT TAK",0,N,N,N
58442110,6300,BG0190,ST,N,STAKET LINNEA 3 VIT 1790X1590MM,0,N,N,N
58442112,10000,BG0180,ST,N,"PERGOLA 4X4 M GRÅTT STATIV,VITT TAK",0,N,N,N
58442117,151,BG0190,ST,N,STOLPLOCK PLATT GALV 136X136MM,0,N,N,N
58442120,96,BG0190,ST,N,STOLPLOCK GALV + UV-LACK 136X136 MM,0,N,N,N
58442121,135,BG0190,ST,N,STOLPLOCK PLATT SVART 136X136MM,0,N,N,N
58442124,10000,BG0180,ST,N,"PERGOLA 4X4 M VITT STATIV,VITT TAK",0,N,N,N
