Artikelnr,GNP,Materialklass,Enhet,Lagerförd,Benämning,Multipel,Miljöavgift,Förlängd ansvarstid,Energieffektivt
19046862,14850,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X700ONE T 24V EI120S SWEGON,0,N,N,N
19046863,15000,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X750ONE T 24V EI120S SWEGON,0,N,N,N
19046864,16550,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X800ONE T 24V EI120S SWEGON,0,N,N,N
19046865,16700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X850ONE T 24V EI120S SWEGON,0,N,N,N
19046866,17150,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X900ONE T 24V EI120S SWEGON,0,N,N,N
19046867,17300,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X950ONE T 24V EI120S SWEGON,0,N,N,N
19046868,17500,PNI80B,ST,N,BRAND/BRANDGAS. CU2 450X1000ONE T 24V EI120S SWEGON,0,N,N,N
19046869,13100,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X200ONE T 24V EI120S SWEGON,0,N,N,N
19046870,13250,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X250ONE T 24V EI120S SWEGON,0,N,N,N
19046871,13400,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X300ONE T 24V EI120S SWEGON,0,N,N,N
19046872,13600,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X350ONE T 24V EI120S SWEGON,0,N,N,N
19046873,14050,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X400ONE T 24V EI120S SWEGON,0,N,N,N
19046874,14200,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X450ONE T 24V EI120S SWEGON,0,N,N,N
19046875,14400,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X500ONE T 24V EI120S SWEGON,0,N,N,N
19046876,14550,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X550ONE T 24V EI120S SWEGON,0,N,N,N
19046877,14700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X600ONE T 24V EI120S SWEGON,0,N,N,N
19046878,14900,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X650ONE T 24V EI120S SWEGON,0,N,N,N
19046879,15050,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X700ONE T 24V EI120S SWEGON,0,N,N,N
19046880,16600,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X750ONE T 24V EI120S SWEGON,0,N,N,N
19046881,17050,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X800ONE T 24V EI120S SWEGON,0,N,N,N
19046882,17200,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X850ONE T 24V EI120S SWEGON,0,N,N,N
19046883,17400,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X900ONE T 24V EI120S SWEGON,0,N,N,N
19046884,17550,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X950ONE T 24V EI120S SWEGON,0,N,N,N
19046885,17700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 500X1000ONE T 24V EI120S SWEGON,0,N,N,N
19046886,13200,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X200ONE T 24V EI120S SWEGON,0,N,N,N
19046887,13350,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X250ONE T 24V EI120S SWEGON,0,N,N,N
19046888,13550,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X300ONE T 24V EI120S SWEGON,0,N,N,N
19046889,13700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X350ONE T 24V EI120S SWEGON,0,N,N,N
19046890,14200,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X400ONE T 24V EI120S SWEGON,0,N,N,N
19046891,14350,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X450ONE T 24V EI120S SWEGON,0,N,N,N
19046892,14550,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X500ONE T 24V EI120S SWEGON,0,N,N,N
19046893,14700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X550ONE T 24V EI120S SWEGON,0,N,N,N
19046894,14900,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X600ONE T 24V EI120S SWEGON,0,N,N,N
19046895,15050,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X650ONE T 24V EI120S SWEGON,0,N,N,N
19046896,16600,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X700ONE T 24V EI120S SWEGON,0,N,N,N
19046897,17100,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X750ONE T 24V EI120S SWEGON,0,N,N,N
19046898,17250,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X800ONE T 24V EI120S SWEGON,0,N,N,N
19046899,17450,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X850ONE T 24V EI120S SWEGON,0,N,N,N
19046900,17600,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X900ONE T 24V EI120S SWEGON,0,N,N,N
19046901,17800,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X950ONE T 24V EI120S SWEGON,0,N,N,N
19046902,17950,PNI80B,ST,N,BRAND/BRANDGAS. CU2 550X1000ONE T 24V EI120S SWEGON,0,N,N,N
19046903,13300,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X200ONE T 24V EI120S SWEGON,0,N,N,N
19046904,13500,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X250ONE T 24V EI120S SWEGON,0,N,N,N
19046905,13650,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X300ONE T 24V EI120S SWEGON,0,N,N,N
19046906,14150,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X350ONE T 24V EI120S SWEGON,0,N,N,N
19046907,14350,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X400ONE T 24V EI120S SWEGON,0,N,N,N
19046908,14500,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X450ONE T 24V EI120S SWEGON,0,N,N,N
19046909,14700,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X500ONE T 24V EI120S SWEGON,0,N,N,N
19046910,14900,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X550ONE T 24V EI120S SWEGON,0,N,N,N
19046911,15050,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X600ONE T 24V EI120S SWEGON,0,N,N,N
19046912,16600,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X650ONE T 24V EI120S SWEGON,0,N,N,N
19046913,17100,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X700ONE T 24V EI120S SWEGON,0,N,N,N
19046914,17300,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X750ONE T 24V EI120S SWEGON,0,N,N,N
19046915,17450,PNI80B,ST,N,BRAND/BRANDGAS. CU2 600X800ONE T 24V EI120S SWEGON,0,N,N,N
19055163,1675,PNL70B,ST,N,YTTERVÄGGSGALLER 300X200 ZMABC VENT,0,N,N,N
19055168,1785,PNL70B,ST,N,YTTERVÄGGSGALLER 500X200 ZMABC VENT,0,N,N,N
19055175,3710,PNL70B,ST,N,YTTERVÄGGSGALLER 600X500 ZMABC VENT,0,N,N,N
19055250,8300,PNK55A,ST,N,SPISKÅPA SPIRIT-16 VIT 50CM3-STEG TRAFO LED ÖSTBERG,0,N,N,N
19055252,8500,PNK55A,ST,N,SPISKÅPA SPIRIT-16 VIT 70CM3-STEG TRAFO LED ÖSTBERG,0,N,N,N
19055253,9200,PNK55A,ST,N,SPISKÅPA SPIRIT-16 RF 60CM3-STEG TRAFO LED ÖSTBERG,0,N,N,N
190552810,2740,PNI110,ST,N,LJUDDÄMPARE NRF50 100-1200ETS,0,N,N,N
190552820,2060,PNI110,ST,N,LJUDDÄMPARE NRF50 125-1200ETS,0,N,N,N
190552830,2460,PNI110,ST,N,LJUDDÄMPARE NRF50 160-1200ETS,0,N,N,N
190552850,6425,PNI110,ST,N,LJUDDÄMPARE NRF50 400-1200ETS,0,N,N,N
190552860,8000,PNI110,ST,N,LJUDDÄMPARE NRF50 500-1200ETS,0,N,N,N
190552870,10450,PNI110,ST,N,LJUDDÄMPARE NRF100 630-900ETS,0,N,N,N
190552880,11750,PNI110,ST,N,LJUDDÄMPARE NRF100 630-1200ETS,0,N,N,N
190552890,12650,PNI110,ST,N,LJUDDÄMPARE NRF100 800-900ETS,0,N,N,N
190552900,14700,PNI110,ST,N,LJUDDÄMPARE NRF100 800-1200ETS,0,N,N,N
190552910,1345,PNI110,ST,N,LJUDDÄMPARE NTF 100-300REKT MED RUND ANSL. ETS,0,N,N,N
190552920,1615,PNI110,ST,N,LJUDDÄMPARE NTF 100-600REKT MED RUND ANSL. ETS,0,N,N,N
190552930,2305,PNI110,ST,N,LJUDDÄMPARE NTF 100-1000REKT MED RUND ANSL. ETS,0,N,N,N
190552940,1420,PNI110,ST,N,LJUDDÄMPARE NTF 125-300REKT MED RUND ANSL. ETS,0,N,N,N
190552950,1730,PNI110,ST,N,LJUDDÄMPARE NTF 125-600REKT MED RUND ANSL. ETS,0,N,N,N
190552960,2585,PNI110,ST,N,LJUDDÄMPARE NTF 125-1000REKT MED RUND ANSL. ETS,0,N,N,N
190552970,1565,PNI110,ST,N,LJUDDÄMPARE NTF 160-300REKT MED RUND ANSL. ETS,0,N,N,N
190552980,2015,PNI110,ST,N,LJUDDÄMPARE NTF 160-600REKT MED RUND ANSL. ETS,0,N,N,N
190552990,3090,PNI110,ST,N,LJUDDÄMPARE NTF 160-1000REKT MED RUND ANSL. ETS,0,N,N,N
190553000,2610,PNI110,ST,N,LJUDDÄMPARE NTF 200-600REKT MED RUND ANSL. ETS,0,N,N,N
190553010,3860,PNI110,ST,N,LJUDDÄMPARE NTF 200-1000REKT MED RUND ANSL. ETS,0,N,N,N
190553020,2955,PNI110,ST,N,LJUDDÄMPARE NTF 250-600REKT MED RUND ANSL. ETS,0,N,N,N
190553030,4540,PNI110,ST,N,LJUDDÄMPARE NTF 250-1000REKT MED RUND ANSL. ETS,0,N,N,N
190553040,3410,PNI110,ST,N,LJUDDÄMPARE NTF 315-600REKT MED RUND ANSL. ETS,0,N,N,N
190553050,5425,PNI110,ST,N,LJUDDÄMPARE NTF 315-1000REKT MED RUND ANSL. ETS,0,N,N,N
190553060,4870,PNI110,ST,N,LJUDDÄMPARE NTF 400-600REKT MED BAFFEL RUND ANSL. ETS,0,N,N,N
190553070,7825,PNI110,ST,N,LJUDDÄMPARE NTF 400-1000REKT MED BAFFEL RUND ANSL. ETS,0,N,N,N
190553080,5025,PNI110,ST,N,LJUDDÄMPARE NTF 500-600REKT MED BAFFEL RUND ANSL. ETS,0,N,N,N
190553090,7475,PNI110,ST,N,LJUDDÄMPARE NTF 500-1000REKT MED BAFFEL RUND ANSL. ETS,0,N,N,N
